Other_ID1,Other_ID2,Other_ID3,Other_Response1,Other_Response2,Other_Response3,Key
29,31,32,2,3,3,286
29,30,32,2,3,3,287
29,30,31,2,3,3,288
2,3,4,3,0,3,289
1,3,4,3,0,3,290
1,2,4,3,3,3,291
1,2,3,3,3,0,292
6,7,8,2,2,2,293
5,7,8,2,2,2,294
5,6,8,2,2,2,295
5,6,7,2,2,2,296
10,11,12,3,3,3,297
9,11,12,3,3,3,298
9,10,12,3,3,3,299
9,10,11,3,3,3,300
14,15,16,3,3,3,301
13,15,16,2,3,3,302
13,14,16,2,3,3,303
13,14,15,2,3,3,304
18,19,20,3,3,2,305
17,19,20,2,3,2,306
17,18,20,2,3,2,307
17,18,19,2,3,3,308
22,23,24,3,3,3,309
21,23,24,3,3,3,310
21,22,24,3,3,3,311
21,22,23,3,3,3,312
26,27,28,1,0,0,313
25,27,28,0,0,0,314
25,26,28,0,1,0,315
25,26,27,0,1,0,316
30,31,32,1,3,3,317
29,31,32,3,3,3,318
29,30,32,3,1,3,319
29,30,31,3,1,3,320
